"Barbados Slim","You haven't seen the last of Barbados Slim. Now goodbye forever."
"Professor Farnsworth","Good God! Just knowing we're in the same genus makes me embarrassed to call myself homo!"
"Professor Farnsworth","Good news, everyone! I've taught the toaster to feel love!"
"Professor Farnsworth","Good news, everyone! There's a report on TV with some very bad news!"
"Professor Farnsworth","I am calling a mandatory company meeting. To the mandatorium!"
"Professor Farnsworth","I can wire anything directly into anything - I'm the professor!"
"Professor Farnsworth","I'm sciencing as fast as I can!"
"Professor Farnsworth","I've got to find a way to escape the horrible ravages of youth. Suddenly, I'm going to the bathroom like clockwork, every three hours. And those jerks at Social Security stopped sending me checks. Now I have to pay them!"
"Professor Farnsworth","Less invasions, more equations!"
"Professor Farnsworth","Nothing is impossible. Not if you can imagine it. That's what being a scientist is all about."
"Professor Farnsworth","Now I've often said 'Good news' when sending you on a mission of extreme danger. So when I say this anomaly is dangerous, you can imagine how dangerous I really think it is."
"Professor Farnsworth","Now, now. Perfectly symmetrical violence never solved anything."
"Professor Farnsworth","Of course Fry, show me where on this anatomically correct doll where he touched you."
"Professor Farnsworth","Oh dear! She's stuck in an infinite loop, and he's an idiot! Well, that's love for you."
"Professor Farnsworth","Oh, dreadfully real. If you die here you'll really be dead. But instead of science we believe in crazy hocus pocus. It's sort of like Kansas."
"Professor Farnsworth","Oh, I always feared he might run off like this. Why, why, why didn't I break his legs?"
"Professor Farnsworth","Oh, I don't have time for this. I have to go and buy a single piece of fruit with a coupon and then return it, making people wait behind me while I complain."
"Professor Farnsworth","Oh, I never knew how much I'd miss him until he was gone! Not that much, as it turns out."
"Professor Farnsworth","That proves nothing! And furthermore, you'd think I could remember a thing like that; plus, who are you anyway?"
"Professor Farnsworth","There's just one little problem, and it's a big one."
"Professor Farnsworth","There's one way and only one way to determine if an animal is intelligent. Dissect its brain!"
"Professor Farnsworth","To better understand the anomaly, I will test its effects on this Giant Medium-Sized Ant."
"Professor Farnsworth Well, then good news! It's a suppository."
"Professor Farnsworth","Who did this? Answer now or be punished."
"Professor Farnsworth","Yes, it's the apocalypse all right. I always thought I'd have a hand in it."
"Professor Farnsworth","Your squad sucks bosons! My team is twice as qualified and three times as expendable!"
"Richard Nixon","Aroo! Those tentacles are coming to earth and there's no stopping it! King Kong's too old to save us this time!"
"Richard Nixon","Uhh...Am I under oath when I take the oath?"
"Robot Devil","I rather think we could strike a deal, Bender. I'll give you you're army of the damned and in return I ask just one thing, just one itty-bitty thing; your first born son!"
"Robot Devil","This opera's as lousy as it is brilliant! Your lyrics lack subtlety. You can't just have your characters announce how they feel. That makes me feel angry!"
"Robot Devil","Wow! That was pretty brutal, even by my standards."
"Scruffy","I'm Scruffy, the janitor."
"Stephen Hawking","Welcome! I am the pickled head of Stephen Hawking on a way cool rocket."
"William Shatner","And when I directed Star Trek V, I got a magnificent performance out of me because I respected me so much."
"Zapp Brannigan","Bender here has identified the femdito commander as my ex-lover, Turanga Leela, whom I once made love at."
"Zapp Brannigan","Captaining 101: Go for the nose!"
"Zapp Brannigan","Ever since man first left his cave and met a stranger with a different language and a new way of looking at things, the human race has had a dream: to kill him, so we don't have to learn his language or his new way of looking at things."
"Zapp Brannigan","I am the man with no name, Zapp Brannigan!"
"Zapp Brannigan","Ladies, you're under arrest. Prepare to be boarded again and again."
"Zapp Brannigan","Me like snu-snu!"
"Zapp Brannigan","My bloodhound-like instincts must have hunted them down while my other parts were throbbing to Duran Duran."
"Zapp Brannigan","Same speed ahead!"
"Zapp Brannigan","Something is very wrong here. And yet, a bit right."
"Zapp Brannigan","Spare me your space age technobabble, Attila the Hun!"
"Zapp Brannigan","The alien mothership is in orbit here. If we can hit that bullseye, the rest of the dominoes will fall like a house of cards. Checkmate."
"Zapp Brannigan","We fight this battle not for ourselves, but for our children, and our children's children, which is why I'm forming a children's brigade."
"Zapp Brannigan","We need rest. The spirit is willing, but the flesh is spongy and bruised."

